Year,Position,Country,Country Name,ELO Rating,FIFA  Rating,Continent,Host Country,Host Continent
1998,Round of 16,NOR,Norway,,59,Europe,FRA,Europe
1998,Round of 16,PAR,Paraguay,,52,South America,FRA,Europe
1998,Round of 16,MEX,Mexico,,61,North America,FRA,Europe
1998,Round of 16,URU,Uruguay,,54,Europe,FRA,Europe
1998,G3,MAR,Morocco,,57,Africa,FRA,Europe
1998,G3,AUT,Austria,,51,Europe,FRA,Europe
1998,G3,RSA,South Africa,,54,Africa,FRA,Europe
1998,G3,ESP,Spain,,56,Europe,FRA,Europe
1998,G3,BEL,Belgium,,50,Europe,FRA,Europe
1998,G3,IRN,Iran,,47,Asia,FRA,Europe
1998,G3,COL,Colombia,,58,South America,FRA,Europe
1998,G3,JAM,Jamaica,,52,North America,FRA,Europe
1998,G4,SCO,Scotland,,48,Europe,FRA,Europe
1998,G4,CMR,Cameroon,,45,Africa,FRA,Europe
1998,G4,KSA,Saudi Arabia,,50,Europe,FRA,Europe
1998,G4,BUL,Bulgaria,,50,Europe,FRA,Europe
1998,G4,KOR,South Korea,,55,Asia,FRA,Europe
1998,G4,USA,USA,,58,North America,FRA,Europe
1998,G4,TUN,Tunisia,,55,Africa,FRA,Europe
1998,G4,JPN,Japan,,57,Asia,FRA,Europe
1994,1,BRA,Brazil,,58,South America,USA,North America
1994,2,ITA,Italy,,49,Europe,USA,North America
1994,3,SWE,Sweden,,56,Europe,USA,North America
1994,4,BUL,Bulgaria,,44,Europe,USA,North America
1994,QF,URU,Uruguay,,53,South America,USA,North America
1994,QF,NED,Netherlands,,53,Europe,USA,North America
1994,QF,GER,Germany,,58,Europe,USA,North America
1994,QF,ESP,Spain,,54,Europe,USA,North America
1994,Round of 16,ARG,Argentina,,55,South America,USA,North America
1994,Round of 16,KSA,Saudi Arabia,,39,Asia,USA,North America
1994,Round of 16,USA,USA,,46,North America,USA,North America
1994,Round of 16,IRL,Republic of Ireland,,51,Europe,USA,North America
1994,Round of 16,BEL,Belgium,,40,Europe,USA,North America
1994,Round of 16,MEX,Mexico,,50,North America,USA,North America
1994,Round of 16,NGA,Nigeria,,54,Africa,USA,North America
1994,Round of 16,SUI,Switzerland,,54,Europe,USA,North America
1994,G3,RUS,Russia,,48,Europe/Asia,USA,North America
1994,G3,KOR,South Korea,,37,Asia,USA,North America
1994,G4,COL,Colombia,,49,South America,USA,North America
1994,G4,CMR,Cameroon,,45,Africa,USA,North America
1994,G4,BOL,Bolivia,,35,Europe,USA,North America
1994,G4,GRE,Greece,,41,Europe,USA,North America
1994,G4,NOR,Norway,,56,Europe,USA,North America
1994,G4,MAR,Morocco,,43,Africa,USA,North America
